province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
河北,2023,物理,机械设计制造及其自动化,596,17507,本科批,hebut_hebei.xlsx,
河北,2024,物理,机械设计制造及其自动化,599,16453,本科批,hebut_hebei.xlsx,
河北,2025,物理,机械设计制造及其自动化,616,16339,本科批,hebut_hebei.xlsx,
河北,2023,物理,新能源科学与工程,599,16135,本科批,hebut_hebei.xlsx,
河北,2024,物理,新能源科学与工程,600,15950,本科批,hebut_hebei.xlsx,
河北,2025,物理,新能源科学与工程,615,16934,本科批,hebut_hebei.xlsx,
河北,2023,物理,机械电子工程,595,18004,本科批,hebut_hebei.xlsx,
河北,2024,物理,机械电子工程,598,16972,本科批,hebut_hebei.xlsx,
河北,2025,物理,机械电子工程,615,16934,本科批,hebut_hebei.xlsx,
河北,2023,物理,能源与动力工程,594,18450,本科批,hebut_hebei.xlsx,
河北,2024,物理,能源与动力工程,597,17561,本科批,hebut_hebei.xlsx,
河北,2025,物理,能源与动力工程,613,18114,本科批,hebut_hebei.xlsx,
河北,2023,物理,车辆工程,593,18978,本科批,hebut_hebei.xlsx,
河北,2024,物理,车辆工程,595,18663,本科批,hebut_hebei.xlsx,
河北,2025,物理,车辆工程,612,18720,本科批,hebut_hebei.xlsx,
河北,2023,物理,测控技术与仪器,586,22825,本科批,hebut_hebei.xlsx,
河北,2024,物理,测控技术与仪器,594,19278,本科批,hebut_hebei.xlsx,
河北,2025,物理,测控技术与仪器,612,18720,本科批,hebut_hebei.xlsx,
河北,2023,物理,电子信息材料,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,电子信息材料,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,电子信息材料,611,19367,本科批,hebut_hebei.xlsx,
河北,2023,物理,储能科学与技术,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,储能科学与技术,594,19278,本科批,hebut_hebei.xlsx,
河北,2025,物理,储能科学与技术,610,20009,本科批,hebut_hebei.xlsx,
河北,2023,物理,会计学,598,16589,本科批,hebut_hebei.xlsx,
河北,2024,物理,会计学,596,18111,本科批,hebut_hebei.xlsx,
河北,2025,物理,会计学,610,20009,本科批,hebut_hebei.xlsx,
河北,2023,物理,应用统计学,597,17039,本科批,hebut_hebei.xlsx,
河北,2024,物理,应用统计学,597,17561,本科批,hebut_hebei.xlsx,
河北,2025,物理,应用统计学,609,20698,本科批,hebut_hebei.xlsx,
河北,2023,物理,大数据管理与应用,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,大数据管理与应用,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,大数据管理与应用,609,20698,本科批,hebut_hebei.xlsx,
河北,2023,物理,应用物理学,593,18978,本科批,hebut_hebei.xlsx,
河北,2024,物理,应用物理学,592,20511,本科批,hebut_hebei.xlsx,
河北,2025,物理,应用物理学,608,21354,本科批,hebut_hebei.xlsx,
河北,2023,物理,工程力学,590,20607,本科批,hebut_hebei.xlsx,
河北,2024,物理,工程力学,592,20511,本科批,hebut_hebei.xlsx,
